trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0}",25,0,-89.6936480451576,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0}",25,0,-196.31214790897394,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0}",20,0,-138.11970343786723,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0}",20,0,-176.04339279654252,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,-132.58764543885937,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0}",30,0,-135.6420059372896,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0}",25,0,-191.40584637092778,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0}",30,12,-90.27550939444075,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0}",20,0,-104.91978148099619,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0}",25,0,-92.63962196428852,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0}",20,0,-177.52277492635122,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0}",25,0,-139.34370853766646,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0}",25,0,-113.59961488526044,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0}",25,0,-118.5856191334511,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0}",25,19,4.239019779879577,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0}",25,0,-47.77955099560671,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0}",20,4,-142.36797995343053,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0}",30,0,-139.10452961028344,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0}",25,0,-110.34890055999621,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",20,0,-112.43593815716594,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-150.2023200018548,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,22,13.88417144676909,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-189.19502286488304,"{0: 14, 1: 1, 2: 4, 3: 4, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-113.47464782288097,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",35,0,-67.72897509046396,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-62.48942245398214,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-219.37872189972,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-155.90238694166433,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-77.77771165001003,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-97.17241365165152,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
